1	1	545.423	545.423	0
2	0.999999	545.423	545.423	0
500	0.999987	545.416	545.423	0
1000	0.999987	545.416	545.423	0
1500	0.999987	545.416	545.423	0
2000	0.999987	545.416	545.423	0
2500	0.999987	545.416	545.423	0
3000	0.999987	545.416	545.423	0
3500	0.999987	545.416	545.423	0
4000	0.999987	545.416	545.423	0
4500	0.999987	545.416	545.423	0
5000	0.999987	545.416	545.423	0
5500	0.999987	545.416	545.423	0
6000	0.999987	545.416	545.423	0
6500	0.999987	545.416	545.423	0
7000	0.999987	545.416	545.423	0
7500	0.999987	545.416	545.423	0
8000	0.999987	545.416	545.423	0
8500	0.999987	545.416	545.423	0
9000	0.999987	545.416	545.423	0
9500	0.999987	545.416	545.423	0
10000	0.999987	545.416	545.423	0
10500	0.999987	545.416	545.423	0
11000	0.999987	545.416	545.423	0
11500	0.999987	545.416	545.423	0
12000	0.999987	545.416	545.423	0
12500	0.999987	545.416	545.423	0
13000	0.999987	545.416	545.423	0
13500	0.999987	545.416	545.423	0
14000	0.999987	545.416	545.423	0
14500	0.999987	545.416	545.423	0
15000	0.999987	545.416	545.423	0
15500	0.999987	545.416	545.423	0
16000	0.999987	545.416	545.423	0
16500	0.999987	545.416	545.423	0
17000	0.999987	545.416	545.423	0
17500	0.999987	545.416	545.423	0
18000	0.999987	545.416	545.423	0
18500	0.999987	545.416	545.423	0
19000	0.999987	545.416	545.423	0
19500	0.999987	545.416	545.423	0
20000	0.999987	545.416	545.423	0
20500	0.999987	545.416	545.423	0
21000	0.999987	545.416	545.423	0
21500	0.999987	545.416	545.423	0
22000	0.999987	545.416	545.423	0
22500	0.999987	545.416	545.423	0
23000	0.999987	545.416	545.423	0
23500	0.999987	545.416	545.423	0
24000	0.999987	545.416	545.423	0
24500	0.999987	545.416	545.423	0
25000	0.999987	545.416	545.423	0
25500	0.999987	545.416	545.423	0
26000	0.999987	545.416	545.423	0
26500	0.999987	545.416	545.423	0
27000	0.999987	545.416	545.423	0
27500	0.999987	545.416	545.423	0
28000	0.999987	545.416	545.423	0
28500	0.999987	545.416	545.423	0
29000	0.999987	545.416	545.423	0
29500	0.999987	545.416	545.423	0
30000	0.999987	545.416	545.423	0
30500	0.999987	545.416	545.423	0
31000	0.999987	545.416	545.423	0
31500	0.999987	545.416	545.423	0
32000	0.999987	545.416	545.423	0
32500	0.999987	545.416	545.423	0
33000	0.999987	545.416	545.423	0
33500	0.999987	545.416	545.423	0
34000	0.999987	545.416	545.423	0
34500	0.999987	545.416	545.423	0
35000	0.999987	545.416	545.423	0
35500	0.999987	545.416	545.423	0
36000	0.999987	545.416	545.423	0
36500	0.999987	545.416	545.423	0
37000	0.999987	545.416	545.423	0
37500	0.999987	545.416	545.423	0
38000	0.999987	545.416	545.423	0
